Country Name,Country Code,Indicator Name,Indicator Code,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,5748.632782,6041.134013,5822.377723,5708.794147,5854.463852,6436.789649,7124.558867,7628.576087,7001.785413,7060.897609,6908.802119
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,959.3602175,1038.320717,1094.430124,970.3625997,801.39384,844.3652499,850.6669582,889.0233718,852.3302296,916.6919671,1054.189484
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,6441.886618,7049.797505,7685.509859,6208.296655,6163.253406,6354.53283,6721.34954,7180.459552,7297.180042,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,10149.1207,10287.07742,10377.34504,8505.153224,8199.544813,9052.331276,8759.324822,8532.484358,7136.214741,8195.12866,9237.903749
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1019.964911,1201.423609,1221.534229,1322.300887,1347.926361,1283.525882,1239.366087,1584.263822,1660.308309,2741.393945,2358.409054
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,4975.306662,4483.245488,4328.807428,3811.773544,3836.321671,3773.136779,3513.833793,3473.742114,3118.860507,3604.012298,3954.094041
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4378.572815,4208.188686,4125.426028,4117.93037,3978.438212,4367.25563,4649.613513,4878.978188,4605.970878,4425.970591,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1347.450817,1364.399694,1475.338214,1523.383336,1675.367623,1887.857385,1920.20841,1964.980519,1853.893087,2136.15806,2272.454739
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1842.969087,1905.498346,1936.664366,1681.367334,1521.52751,1603.501804,1624.144532,1625.762576,1488.7955,1630.983903,1690.387566
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,18961.23359,19821.52865,20327.98346,18389.53103,15991.10879,16094.66678,16164.16133,15690.9631,13871.79822,16032.50277,18222.26033
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4233.917158,4308.337421,4398.638695,3960.924849,3796.109011,3569.718839,3577.16946,3477.844271,3497.733231,3807.184563,3776.667779
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,11697.47436,12507.80316,12020.34966,10851.92011,10734.25647,10464.00779,9400.836337,9103.012397,8561.064333,9661.227734,10616.06104
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,3624.984174,3536.901175,3556.378789,3384.382534,3836.073071,4181.437569,4419.256323,4940.050682,4674.909088,5372.756766,5334.988605
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,854.5432129,955.3212891,1012.984741,929.1072388,942.8813477,975.9245605,1011.59967,1050.932373,1104.164429,1146.031982,1192.403809
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,796.7111393,819.7578674,897.5097285,864.1800594,753.6844055,766.177604,793.1280823,823.0247328,846.8811992,883.4657281,964.2243852
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,4004.789795,4187.739746,3104.653809,2124.662598,2187.727539,2638.325439,3096.5625,3661.457764,3751.737305,4827.845703,4533.975586
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,7596.716989,8056.656324,8218.29574,7664.045408,7590.182392,8335.158124,8895.010224,9006.037156,8649.365561,10257.27978,10794.93186
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16087.25208,18140.89192,18131.57885,16950.75338,16837.94038,18995.39702,19026.04961,18098.36155,15650.49943,17923.99533,20795.04235
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,51784.41857,53291.12769,55123.84979,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63528.6343,70219.47245,76398.59174
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,2267.623275,2419.718744,2628.460054,2753.971058,2704.677189,1916.764625,1604.258642,1795.201768,1759.307471,1993.424478,2255.151155
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,6754.370184,7117.554763,7210.616549,7386.737484,7684.779282,7996.656233,8399.693967,8680.241982,8306.367581,8360.101059,9125.317497
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,12937.9276,12433.98079,15975.72938,,,,,,,,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,37795.31926,34597.97669,33045.36438,34007.35294,35324.97489,35365.0693,36653.86305,38596.03071,39552.1686,,
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2190.232284,2367.499542,2558.778924,2595.234979,2760.717101,2992.071746,3267.225009,3491.091279,3586.347297,3756.489122,4163.5143
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2906.342461,2877.444528,2861.203164,2643.886894,2757.203306,3032.19702,3076.835315,3076.589886,2917.756849,3044.57364,3010.292173
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,10575.66013,10738.31741,10898.72081,10156.95346,10208.8699,10746.85627,11290.09997,11330.45367,10895.73523,12282.00007,12647.48079
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,3902.312164,3989.898249,3948.728781,4048.467057,4105.810681,4261.640513,4189.052219,4308.301453,4042.722715,3857.356685,3743.205679
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,3410.692727,3704.562199,3902.52982,3520.780421,3759.47104,4009.356038,4384.190404,4416.031322,4310.932984,5269.783901,5351.439542
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,1349.990295,1497.747941,1557.601406,1488.416267,1069.816997,893.7165729,701.7148778,693.8164835,583.8756629,603.7079594,676.928385
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,8173.869138,7441.230854,6965.137897,6204.929901,5735.066787,6734.475153,7048.508112,6688.774746,5741.641249,7055.055176,6776.480077
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1729.647471,1840.320553,1724.57622,1307.909649,1249.923143,1495.752138,1475.199836,1268.120941,956.8317475,1137.344395,1487.907764
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1290.193957,1408.36781,1407.034291,1410.329173,1421.787791,1192.107012,2269.177012,1421.868596,1372.696674,1773.920411,1266.996031
